index,Rank,Game Title,Platform,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global,Review
109,110,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03,93.75
110,111,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.48,1.84,0.07,0.6,5.99,91.49
111,112,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,1.19,2.33,0.54,5.95,90.77
112,113,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,2.85,1.56,1.03,0.49,5.92,88
113,114,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.2,0.94,0.07,5.85,91
114,115,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82,93.13
115,116,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,3.72,1.46,0.07,0.54,5.8,91.49
116,117,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.43,2.19,0.19,0.93,5.75,91
117,118,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.54,1.59,0.83,0.78,5.75,93.53
118,119,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74,86
119,120,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.54,0.63,4.35,0.15,5.67,87.98
120,121,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,1.94,1.41,1.98,0.31,5.64,78.4
121,122,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58,86
122,123,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55,89
123,124,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.47,1.51,0.03,0.53,5.54,76
124,125,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49,82
125,126,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47,83
126,127,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.19,1.65,0.09,0.53,5.46,93
127,128,Super Mario World: Super Mario Advance 2,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46,93
128,129,Cooking Mama,DS,2006,Simulation,505 Games,2.93,1.88,0.07,0.57,5.46,67.67
129,130,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45,73
130,131,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42,70.12
131,132,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.36,2.02,0.17,0.83,5.37,93
132,133,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.3,1.99,0.21,0.86,5.36,90.71
133,134,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.44,0.49,4.13,0.31,5.35,82.12
134,135,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.89,1.83,0.1,0.53,5.35,92.26
135,136,Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34,77
136,137,Just Dance 4,Wii,2012,Misc,Ubisoft,3.03,1.78,0,0.51,5.32,57
137,138,Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31,80
138,139,Final Fantasy IX,PS,2000,Role-Playing,Square,1.62,0.77,2.78,0.14,5.3,83
139,140,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29,86.25
140,141,Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27,88
141,142,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.1,1.57,0.07,0.53,5.27,82.92
142,143,Tomb Raider II,PS,1997,Adventure,Eidos Interactive,2.3,2.46,0.2,0.28,5.24,82.71
143,144,Madden NFL 2004,PS2,,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23,87
144,145,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21,91
145,146,Super Mario Advance 4: Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2,90
146,147,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19,85
147,148,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.6,1.61,0.17,0.78,5.15,91
148,149,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15,90
149,150,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13,73
150,151,Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13,81
151,152,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0,0.2,5.12,73
152,153,Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0,0.68,5.12,90
153,154,Assassin's Creed II,X360,2009,Action,Ubisoft,2.87,1.6,0.08,0.52,5.08,90.01
154,155,Super Mario Bros. Deluxe,GB,1999,Platform,Nintendo,3.4,1.3,0.15,0.22,5.07,93
155,156,Professor Layton and the Curious Village,DS,2007,Adventure,Nintendo,1.18,2.34,1.03,0.51,5.06,89
156,157,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.25,1.33,0,0.48,5.06,83
157,158,Resident Evil,PS,1996,Action,Virgin Interactive,2.05,1.16,1.11,0.73,5.05,88
158,159,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,1.38,0.02,0.2,5.02,89
159,160,Mario & Sonic at the Olympic Games,DS,2008,Sports,Nintendo,1.61,2.39,0.44,0.57,5.01,73
160,161,Warzone 2100,PS,1999,Strategy,Eidos Interactive,2.79,1.89,0,0.33,5.01,73.37
161,162,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,1.36,0.07,0.21,5,86
162,163,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.51,1.71,0,0.77,4.99,85.04
163,164,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,1.05,0.01,0.43,4.98,86
164,165,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.03,1.18,0.29,0.47,4.97,76
165,166,The Legend of Zelda: Phantom Hourglass,DS,2007,Adventure,Nintendo,1.79,1.74,0.95,0.47,4.95,90
166,167,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.57,1.05,1.87,0.45,4.94,84.15
167,168,Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,0.26,0.01,0.66,4.91,85.15
168,169,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.57,3.22,0.06,1.06,4.91,86
169,170,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.42,0.99,0.05,0.44,4.91,80.23
170,171,Pokemon Mystery Dungeon: Explorers of Time / Darkness,DS,2007,Role-Playing,Nintendo,1.81,1.16,1.54,0.37,4.89,84
171,172,Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,0.99,0.89,0.1,4.88,81
172,173,Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,0.6,1.52,0.1,4.85,82
173,174,Resident Evil 5,PS3,2009,Action,Capcom,1.84,1.32,1.08,0.61,4.84,87.11
174,175,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,1.57,0.44,0.21,4.79,91.78
175,176,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.66,1.82,0.16,1.12,4.76,87.54
176,177,Driver 2,PS,2000,Action,Atari,2.36,2.1,0.02,0.25,4.73,69.2
177,178,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.15,1.69,0.13,0.74,4.71,85.56
178,179,The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,1.73,2.19,0,0.79,4.7,77.87
179,180,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,92
180,181,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67,83.24
181,182,Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63,90.02
182,183,The Legend of Zelda: A Link to the Past,SNES,1991,Adventure,Nintendo,2.42,0.91,1.15,0.13,4.61,94
183,184,The Legend of Zelda: The Wind Waker,GC,2002,Adventure,Nintendo,2.6,0.99,0.89,0.13,4.6,94.43
184,185,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.13,1.58,0.12,0.72,4.55,89
185,186,God of War III,PS3,2010,Action,Sony Computer Entertainment,2.66,1.17,0.12,0.58,4.53,92.63
186,187,Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.8,1.87,0.09,0.78,4.53,79.3
187,188,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53,89
188,189,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3,1.09,0,0.43,4.53,88
189,190,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,1.76,1.81,0.2,0.75,4.51,90
190,191,Assassin's Creed: Brotherhood,X360,2010,Action,Ubisoft,2.56,1.46,0.03,0.45,4.49,90.55
191,192,Madden NFL 07,PS2,2006,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49,84.48
192,193,Spider-Man: The Movie,PS2,2002,Action,Activision,2.71,1.51,0.03,0.23,4.48,75.63
193,194,FIFA Soccer 13,X360,2012,Action,Electronic Arts,0.91,3,0.01,0.56,4.48,81
194,195,Dragon Warrior VII,PS,2000,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47,80.54
195,196,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.7,1.31,0,0.44,4.45,82
196,197,God of War,PS2,2005,Action,Sony Computer Entertainment,2.71,1.29,0.02,0.43,4.45,93.69
197,198,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.77,1.01,1.32,0.35,4.44,73.54
198,199,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41,84
199,200,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,0.1,2.39,1.05,0.86,4.39,86.31
200,201,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.09,0.88,0.01,0.41,4.39,86
201,202,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2.19,0.5,1.61,0.08,4.38,79
202,203,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Nintendo,1.83,1.84,0.22,0.47,4.37,78
203,204,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,2.03,1.79,0.08,0.47,4.37,89
204,205,Assassin's Creed: Brotherhood,PS3,2010,Action,Ubisoft,1.66,1.84,0.11,0.75,4.36,76.2
205,206,Sonic the Hedgehog,GEN,1991,Platform,Sega,3.03,0.91,0.26,0.13,4.34,87
206,207,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2.54,1.27,0.01,0.42,4.24,70
207,208,Namco Museum,GBA,2001,Misc,Namco Bandai Games,3,1.11,0.05,0.07,4.24,72.08
208,209,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,1.46,1.53,0.83,0.41,4.23,91.77
209,210,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.01,1.45,0.09,0.65,4.21,90.43
210,211,Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,1.7,2.27,0,0.23,4.21,94.75
211,212,FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,0.78,2.55,0.04,0.84,4.21,78.73
212,213,EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,0.88,2.3,0.2,0.83,4.2,77
213,214,Assassin's Creed III,X360,2012,Action,Ubisoft,2.48,1.27,0.02,0.41,4.18,84.81
214,215,Excitebike,NES,1984,Racing,Nintendo,2.04,0.48,1.57,0.07,4.16,81
215,216,Frogger,PS,1997,Action,Hasbro Interactive,3.79,0.27,0,0.11,4.16,72
216,217,Madden NFL 2003,PS2,2002,Sports,Electronic Arts,3.36,0.21,0.01,0.56,4.14,87
217,218,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1.6,1.67,0.14,0.72,4.13,86
218,219,Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,1.65,0.61,1.76,0.09,4.12,91
219,220,Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,1.25,1.79,0.57,0.51,4.12,79.82
220,221,Half-Life,PC,1997,Shooter,Vivendi Games,4.03,0,0.09,0,4.12,94.02
221,222,Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2.44,1.16,0.11,0.4,4.11,88.5
222,223,FIFA 07 Soccer,PS2,2006,Sports,Electronic Arts,0.71,2.48,0.03,0.89,4.11,81.4
223,224,Street Fighter II Turbo,SNES,1992,Fighting,Capcom,1.42,0.51,2.1,0.07,4.1,86
224,225,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2.2,0.58,1.12,0.17,4.07,93
225,226,Daxter,PSP,2006,Platform,Sony Computer Entertainment,2.36,0.98,0,0.72,4.07,86.45
226,227,God of War II,PS2,2007,Action,Capcom,2.32,1.3,0.04,0.41,4.07,92.79
227,228,FIFA Soccer 12,X360,2011,Sports,Electronic Arts,0.79,2.74,0.02,0.51,4.06,84
228,229,World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment,0.12,2.26,0.9,0.77,4.06,88.49
229,230,Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,2.28,1.55,0.16,0.06,4.05,70
230,231,Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,1.68,1.51,0.51,0.35,4.05,85.75
231,232,Star Fox 64,N64,1997,Shooter,Nintendo,2.78,0.58,0.64,0.04,4.03,89
232,233,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,2.69,0.86,0.09,0.37,4.02,92.85
233,234,Golf,NES,1984,Sports,Nintendo,1.22,0.28,2.46,0.04,4.01,71
234,235,Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,2.31,1.25,0.03,0.4,3.99,88
235,236,World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,2.57,1.42,0,0,3.99,91.01
236,237,World of Warcraft: Wrath of the Lich King,PC,2008,Role-Playing,Activision,2.41,1.58,0,0,3.99,85
237,238,Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games,2.08,1.35,0,0.54,3.98,68
238,239,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2.49,0.96,0.13,0.37,3.95,94
239,240,Professor Layton and the Diabolical Box,DS,2007,Adventure,Nintendo,0.8,1.83,0.92,0.38,3.94,88
240,241,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,1.76,1.68,0.05,0.42,3.92,90.66
241,242,Carnival Games,Wii,2007,Misc,Take-Two Interactive,2.03,1.42,0.05,0.41,3.92,59.23
242,243,Donkey Kong Land,GB,1994,Platform,Nintendo,1.97,0.76,1.07,0.11,3.91,76
243,244,Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,2.06,1.41,0.03,0.4,3.91,79.21
244,245,Tony Hawk's Underground,PS2,2003,Sports,Activision,2.29,1.17,0.01,0.42,3.9,88
245,246,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.19,1.21,0,0.48,3.89,91
246,247,Tekken 5,PS2,2005,Fighting,Namco Bandai Games,0.93,1.94,0.31,0.7,3.87,89.32
247,248,Dragon Warrior III,NES,1988,Role-Playing,Enix Corporation,0.1,0,3.77,0,3.87,87
248,249,World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment,0.16,1.89,1.12,0.68,3.85,90.83
249,250,Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment,2.12,1.44,0.22,0.06,3.84,75
250,251,EA Sports Active,Wii,2009,Sports,Electronic Arts,2.05,1.32,0.06,0.4,3.84,83.25
251,252,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1.27,1.79,0.07,0.7,3.83,80.05
252,253,The Legend of Zelda: Link's Awakening,GB,1992,Adventure,Nintendo,2.21,0.96,0.54,0.13,3.83,89
253,254,RollerCoaster Tycoon,PC,,Strategy,Unknown,3.82,0.01,0,0,3.83,87
254,255,Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,0.85,1.54,1.05,0.35,3.79,61
255,256,Resident Evil Director's Cut,PS,1996,Action,Virgin Interactive,1.82,1.24,0.47,0.25,3.77,85
256,257,MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,1.5,1.55,0.06,0.65,3.77,82.74
257,258,The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,2.03,1.56,0,0.17,3.76,80.26
258,259,Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,1.37,2,0.14,0.22,3.73,62
259,260,StarCraft,PC,1998,Strategy,Activision,3.71,0.01,0,0,3.73,93
