Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.1015625000,6,4152.8203125000,4156.6665039062,4185.0000000000,4063.3332519531,4174.1025390625,4162.6923828125,4172.6923828125,4166.9228515625,4155.1284179688,4148.2050781250,4148.5898437500,4159.7436523438,4144.1025390625,4163.9741210938,,,
0.1054687500,6,4154.3588867188,4145.7690429688,4185.5126953125,4058.2050781250,4171.5385742188,4159.1025390625,4172.8203125000,4169.2309570312,4154.1025390625,4149.4873046875,4154.6152343750,4166.5385742188,4149.1025390625,4166.5385742188,,,
0.1093750000,7,4152.0512695312,4134.7436523438,4182.5639648438,4049.3588867188,4164.1025390625,4154.7436523438,4170.7690429688,4167.8203125000,4155.2563476562,4153.5898437500,4158.3334960938,4169.2309570312,4151.4101562500,4167.0512695312,,,
0.1132812500,7,4146.0258789062,4126.7949218750,4175.5126953125,4037.9487304688,4154.6152343750,4151.9228515625,4167.0512695312,4163.4614257812,4157.3076171875,4157.3076171875,4158.3334960938,4166.4101562500,4148.7177734375,4164.3588867188,,,
0.1171875000,7,4138.5898437500,4122.5639648438,4165.7690429688,4026.4101562500,4147.4360351562,4151.5385742188,4162.5639648438,4158.4614257812,4158.5898437500,4158.5898437500,4155.7690429688,4160.2563476562,4142.1796875000,4159.4873046875,,,
0.1210937500,7,4133.3334960938,4120.7690429688,4156.9228515625,4018.0769042969,4145.5126953125,4153.3334960938,4158.9741210938,4154.4873046875,4158.2050781250,4157.3076171875,4153.2050781250,4154.7436523438,4135.6411132812,4154.8715820312,,,
0.1250000000,8,4132.0512695312,4120.5126953125,4152.4360351562,4014.7436523438,4148.2050781250,4155.6411132812,4157.3076171875,4152.3076171875,4156.4101562500,4155.1284179688,4152.6923828125,4152.4360351562,4132.5639648438,4152.8203125000,,,
0.1289062500,8,4133.8461914062,4121.5385742188,4153.3334960938,4015.0000000000,4151.7949218750,4156.4101562500,4157.5639648438,4151.0258789062,4154.3588867188,4153.7177734375,4154.4873046875,4153.0771484375,4132.8203125000,4153.5898437500,,,
0.1328125000,8,4135.8974609375,4123.0771484375,4157.8203125000,4016.1538085938,4152.6923828125,4155.1284179688,4157.9487304688,4149.6152343750,4152.4360351562,4153.5898437500,4156.9228515625,4154.2309570312,4133.4614257812,4154.6152343750,,,
0.1367187500,8,4136.6665039062,4123.4614257812,4162.3076171875,4015.8974609375,4149.4873046875,4152.6923828125,4156.4101562500,4147.1796875000,4150.8974609375,4154.4873046875,4159.1025390625,4154.3588867188,4131.2822265625,4154.1025390625,,,
0.1406250000,9,4136.5385742188,4121.9228515625,4165.2563476562,4014.6154785156,4143.8461914062,4151.1538085938,4152.0512695312,4144.2309570312,4150.0000000000,4156.5385742188,4161.4101562500,4154.1025390625,4127.5639648438,4153.2050781250,,,
0.1445312500,9,4136.7949218750,4119.8715820312,4167.0512695312,4014.7436523438,4139.7436523438,4152.3076171875,4146.0258789062,4142.9487304688,4150.7690429688,4161.0258789062,4165.6411132812,4156.1538085938,4126.1538085938,4154.7436523438,,,
0.1484375000,9,4138.2050781250,4119.8715820312,4168.9741210938,4017.5642089844,4140.6411132812,4155.7690429688,4140.8974609375,4145.0000000000,4153.9741210938,4167.8203125000,4171.6665039062,4161.6665039062,4129.1025390625,4160.0000000000,,,
0.1523437500,9,4140.3847656250,4122.4360351562,4171.0258789062,4022.0512695312,4146.6665039062,4159.1025390625,4137.9487304688,4149.1025390625,4158.5898437500,4174.1025390625,4176.9228515625,4168.5898437500,4134.2309570312,4166.6665039062,,,
0.1562500000,10,4142.4360351562,4126.2822265625,4172.3076171875,4025.0000000000,4153.9741210938,4160.5126953125,4137.3076171875,4152.5639648438,4162.1796875000,4175.8974609375,4178.7177734375,4172.9487304688,4137.8203125000,4170.7690429688,,,
0.1601562500,10,4144.3588867188,4130.0000000000,4172.4360351562,4025.2563476562,4157.6923828125,4158.9741210938,4137.6923828125,4153.9741210938,4162.9487304688,4172.0512695312,4176.7949218750,4172.5639648438,4138.0771484375,4170.3847656250,,,
0.1640625000,10,4146.5385742188,4133.5898437500,4172.8203125000,4023.8461914062,4156.4101562500,4156.2822265625,4138.4614257812,4156.1538085938,4162.4360351562,4165.8974609375,4173.7177734375,4168.8461914062,4137.5639648438,4167.4360351562,,,
0.1679687500,10,4148.7177734375,4138.4614257812,4174.7436523438,4023.5898437500,4153.4614257812,4155.2563476562,4139.8715820312,4162.4360351562,4164.1025390625,4163.3334960938,4172.6923828125,4165.7690429688,4138.9741210938,4165.6411132812,,,
0.1718750000,11,4150.5126953125,4145.6411132812,4178.9741210938,4026.5385742188,4153.2050781250,4157.5639648438,4142.5639648438,4173.2050781250,4170.6411132812,4168.3334960938,4175.5126953125,4166.0258789062,4143.4614257812,4167.1796875000,,,
0.1757812500,11,4150.8974609375,4155.5126953125,4184.4873046875,4032.5642089844,4156.7949218750,4162.4360351562,4147.3076171875,4184.4873046875,4181.0258789062,4180.1284179688,4181.7949218750,4169.7436523438,4149.3588867188,4171.1538085938,,,
0.1796875000,11,4150.3847656250,4166.5385742188,4189.8715820312,4039.8718261719,4162.6923828125,4167.0512695312,4153.3334960938,4191.0258789062,4191.9228515625,4193.4614257812,4189.1025390625,4174.7436523438,4155.0000000000,4175.2563476562,,,
0.1835937500,11,4150.6411132812,4176.6665039062,4194.6152343750,4046.6667480469,4168.4614257812,4168.9741210938,4159.4873046875,4191.1538085938,4199.2309570312,4202.6923828125,4195.5126953125,4179.4873046875,4159.8715820312,4178.5898437500,,,
0.1875000000,12,4153.5898437500,4183.4614257812,4198.5898437500,4052.3076171875,4173.2050781250,4167.9487304688,4164.2309570312,4188.0771484375,4201.4101562500,4204.8715820312,4199.7436523438,4183.4614257812,4163.9741210938,4181.7949218750,,,
0.1914062500,12,4159.1025390625,4186.1538085938,4202.6923828125,4057.1794433594,4176.6665039062,4165.7690429688,4167.1796875000,4186.7949218750,4199.6152343750,4201.9228515625,4202.6923828125,4187.5639648438,4168.2050781250,4186.1538085938,,,
0.1953125000,12,4165.1284179688,4185.3847656250,4207.4360351562,4061.9230957031,4178.8461914062,4164.1025390625,4168.5898437500,4189.4873046875,4196.7949218750,4198.5898437500,4205.2563476562,4192.8203125000,4173.2050781250,4191.2822265625,,,
0.1992187500,12,4169.7436523438,4183.0771484375,4212.6923828125,4066.4101562500,4180.2563476562,4164.1025390625,4169.8715820312,4194.8715820312,4196.4101562500,4199.3588867188,4208.4614257812,4198.9741210938,4179.4873046875,4195.6411132812,,,
0.2031250000,13,4172.6923828125,4180.8974609375,4217.9487304688,4070.7692871094,4182.0512695312,4165.7690429688,4172.1796875000,4200.3847656250,4200.0000000000,4205.3847656250,4212.5639648438,4205.5126953125,4187.0512695312,4198.2050781250,,,
0.2070312500,13,4175.2563476562,4178.9741210938,4223.2050781250,4074.8718261719,4186.1538085938,4168.3334960938,4176.2822265625,4204.4873046875,4206.7949218750,4214.4873046875,4217.1796875000,4212.0512695312,4194.6152343750,4198.9741210938,,,
0.2109375000,13,4178.3334960938,4175.6411132812,4228.8461914062,4078.9743652344,4192.4360351562,4170.3847656250,4181.7949218750,4206.6665039062,4213.2050781250,4222.1796875000,4222.0512695312,4217.9487304688,4201.1538085938,4199.3588867188,,,
0.2148437500,13,4181.6665039062,4169.4873046875,4234.7436523438,4082.6923828125,4198.4614257812,4170.7690429688,4186.9228515625,4206.9228515625,4216.1538085938,4225.1284179688,4225.7690429688,4222.3076171875,4205.6411132812,4200.8974609375,,,
0.2187500000,14,4183.3334960938,4161.4101562500,4238.9741210938,4084.8718261719,4200.5126953125,4168.9741210938,4189.4873046875,4204.7436523438,4214.6152343750,4223.2050781250,4226.7949218750,4223.8461914062,4207.1796875000,4203.4614257812,,,
0.2226562500,14,4182.3076171875,4154.3588867188,4238.7177734375,4084.1025390625,4197.0512695312,4165.6411132812,4188.4614257812,4199.8715820312,4210.0000000000,4219.1025390625,4223.9741210938,4221.5385742188,4205.8974609375,4205.2563476562,,,
0.2265625000,14,4178.9741210938,4151.5385742188,4232.9487304688,4080.5129394531,4190.3847656250,4162.1796875000,4185.0000000000,4193.0771484375,4204.7436523438,4215.8974609375,4218.0771484375,4216.2822265625,4202.4360351562,4204.1025390625,,,
0.2304687500,14,4175.3847656250,4153.7177734375,4224.3588867188,4076.0256347656,4185.7690429688,4160.6411132812,4181.9228515625,4186.4101562500,4200.5126953125,4214.6152343750,4212.1796875000,4210.7690429688,4198.7177734375,4199.7436523438,,,
0.2343750000,15,4174.2309570312,4160.1284179688,4217.9487304688,4073.4614257812,4187.3076171875,4162.4360351562,4181.7949218750,4182.5639648438,4197.5639648438,4213.9741210938,4209.3588867188,4208.3334960938,4197.3076171875,4194.7436523438,,,
0.2382812500,15,4176.6665039062,4168.0771484375,4218.2050781250,4074.6154785156,4194.4873046875,4166.7949218750,4184.8715820312,4182.9487304688,4195.0000000000,4211.9228515625,4210.5126953125,4210.2563476562,4199.7436523438,4192.1796875000,,,
0.2421875000,15,4181.5385742188,4173.7177734375,4224.6152343750,4078.0769042969,4202.3076171875,4170.2563476562,4188.8461914062,4185.8974609375,4192.0512695312,4207.4360351562,4213.7177734375,4214.8715820312,4204.3588867188,4193.5898437500,,,
0.2460937500,15,4185.2563476562,4174.3588867188,4232.6923828125,4080.7692871094,4204.6152343750,4169.8715820312,4191.1538085938,4188.2050781250,4188.7177734375,4201.4101562500,4215.3847656250,4219.2309570312,4207.6923828125,4197.3076171875,,,
0.2500000000,16,4185.0000000000,4170.3847656250,4236.5385742188,4080.2563476562,4199.2309570312,4165.5126953125,4190.5126953125,4186.9228515625,4185.2563476562,4195.5126953125,4213.5898437500,4219.8715820312,4206.5385742188,4199.8715820312,,,
0.2539062500,16,4180.5126953125,4165.3847656250,4232.9487304688,4075.7692871094,4189.2309570312,4159.7436523438,4187.3076171875,4181.6665039062,4182.1796875000,4190.3847656250,4208.2050781250,4215.3847656250,4200.6411132812,4198.3334960938,,,
0.2578125000,16,4174.2309570312,4163.8461914062,4223.4614257812,4068.8461914062,4180.5126953125,4156.2822265625,4183.0771484375,4174.8715820312,4179.6152343750,4185.6411132812,4201.1538085938,4207.1796875000,4192.3076171875,4192.6923828125,,,
0.2617187500,16,4169.4873046875,4167.4360351562,4213.5898437500,4062.1794433594,4177.4360351562,4156.4101562500,4179.7436523438,4170.3847656250,4178.0771484375,4182.1796875000,4195.7690429688,4199.2309570312,4185.6411132812,4186.2822265625,,,
0.2656250000,17,4168.2050781250,4173.7177734375,4208.8461914062,4058.4614257812,4179.8715820312,4158.5898437500,4179.3588867188,4171.2822265625,4178.9741210938,4182.0512695312,4194.8715820312,4195.8974609375,4184.7436523438,4182.9487304688,,,
0.2695312500,17,4170.3847656250,4178.7177734375,4211.5385742188,4058.5898437500,4183.4614257812,4160.6411132812,4182.3076171875,4176.9228515625,4183.4614257812,4187.3076171875,4198.8461914062,4199.1025390625,4190.6411132812,4184.8715820312,,,
0.2734375000,17,4173.3334960938,4177.9487304688,4218.8461914062,4060.3845214844,4182.9487304688,4160.2563476562,4186.2822265625,4183.9741210938,4190.1284179688,4196.1538085938,4204.8715820312,4205.3847656250,4200.5126953125,4190.0000000000,,,
0.2773437500,17,4173.7177734375,4169.2309570312,4224.1025390625,4059.7436523438,4176.4101562500,4157.5639648438,4187.6923828125,4187.3076171875,4195.0000000000,4202.8203125000,4207.4360351562,4208.2050781250,4207.1796875000,4193.2050781250,,,
0.2812500000,18,4169.3588867188,4153.5898437500,4221.7949218750,4053.5898437500,4165.6411132812,4153.8461914062,4183.9741210938,4183.8461914062,4192.8203125000,4200.6411132812,4203.0771484375,4202.4360351562,4204.7436523438,4189.8715820312,,,
0.2851562500,18,4161.0258789062,4135.7690429688,4211.5385742188,4041.9230957031,4154.4873046875,4150.8974609375,4175.7690429688,4173.9741210938,4182.0512695312,4187.6923828125,4191.6665039062,4188.3334960938,4193.5898437500,4179.4873046875,,,
0.2890625000,18,4152.5639648438,4122.9487304688,4199.1025390625,4029.3588867188,4147.1796875000,4149.7436523438,4166.7949218750,4162.3076171875,4167.0512695312,4169.6152343750,4178.2050781250,4171.6665039062,4180.5126953125,4166.9228515625,,,
0.2929687500,18,4148.5898437500,4122.8203125000,4192.6923828125,4022.4357910156,4146.5385742188,4151.2822265625,4162.3076171875,4155.2563476562,4156.6665039062,4157.4360351562,4169.8715820312,4160.6411132812,4174.6152343750,4158.8461914062,,,
0.2968750000,19,4151.5385742188,4137.6923828125,4197.4360351562,4025.2563476562,4153.8461914062,4155.7690429688,4166.0258789062,4157.3076171875,4157.9487304688,4159.7436523438,4172.1796875000,4161.4101562500,4180.3847656250,4160.3847656250,,,
0.3007812500,19,4160.3847656250,4161.2822265625,4212.9487304688,4037.0512695312,4167.1796875000,4162.5639648438,4177.5639648438,4167.5639648438,4171.1538085938,4176.1538085938,4185.1284179688,4174.2309570312,4195.1284179688,4171.7949218750,,,
0.3046875000,19,4171.2822265625,4182.4360351562,4232.8203125000,4052.1794433594,4181.9228515625,4169.2309570312,4192.3076171875,4180.7690429688,4188.7177734375,4197.9487304688,4203.7177734375,4192.6923828125,4211.7949218750,4188.8461914062,,,
0.3085937500,19,4180.3847656250,4192.0512695312,4248.8461914062,4064.4870605469,4192.8203125000,4173.2050781250,4204.1025390625,4190.3847656250,4200.7690429688,4214.2309570312,4220.0000000000,4208.0771484375,4223.4614257812,4204.4873046875,,,
0.3125000000,20,4185.1284179688,4188.8461914062,4255.7690429688,4070.3845214844,4196.7949218750,4172.5639648438,4208.9741210938,4192.9487304688,4202.4360351562,4218.9741210938,4228.2050781250,4215.1284179688,4227.3076171875,4212.9487304688,,,
0.3164062500,20,4185.5126953125,4179.8715820312,4253.7177734375,4070.3845214844,4194.4873046875,4167.5639648438,4207.4360351562,4190.0000000000,4196.1538085938,4213.5898437500,4227.0512695312,4213.8461914062,4224.4873046875,4212.5639648438,,,
0.3203125000,20,4183.3334960938,4173.3334960938,4247.0512695312,4066.9230957031,4188.8461914062,4160.6411132812,4203.2050781250,4185.3847656250,4187.8203125000,4204.2309570312,4219.3588867188,4207.5639648438,4218.2050781250,4206.1538085938,,,
0.3242187500,20,4180.2563476562,4173.7177734375,4240.7690429688,4062.5642089844,4183.4614257812,4155.1284179688,4199.8715820312,4182.6923828125,4182.8203125000,4197.1796875000,4210.1284179688,4200.5126953125,4211.1538085938,4198.4614257812,,,
0.3281250000,21,4176.9228515625,4179.7436523438,4238.4614257812,4058.9743652344,4181.0258789062,4153.0771484375,4198.9741210938,4182.6923828125,4182.5639648438,4195.3847656250,4203.3334960938,4195.0000000000,4205.3847656250,4193.4614257812,,,
0.3320312500,21,4173.8461914062,4187.8203125000,4239.8715820312,4056.6667480469,4181.4101562500,4154.3588867188,4199.6152343750,4184.1025390625,4185.1284179688,4197.5639648438,4200.6411132812,4191.6665039062,4202.4360351562,4192.1796875000,,,
0.3359375000,21,4172.0512695312,4194.2309570312,4243.2050781250,4055.5129394531,4183.4614257812,4156.7949218750,4200.1284179688,4185.1284179688,4187.5639648438,4200.6411132812,4201.1538085938,4190.3847656250,4202.5639648438,4193.8461914062,,,
0.3398437500,21,4172.8203125000,4196.5385742188,4246.1538085938,4055.0000000000,4185.3847656250,4158.3334960938,4200.0000000000,4184.7436523438,4188.0771484375,4201.9228515625,4203.0771484375,4191.0258789062,4204.6152343750,4196.4101562500,,,
0.3437500000,22,4175.8974609375,4194.4873046875,4247.6923828125,4055.3845214844,4186.0258789062,4158.3334960938,4199.8715820312,4183.7177734375,4186.6665039062,4199.7436523438,4204.8715820312,4193.5898437500,4206.6665039062,4198.4614257812,,,
0.3476562500,22,4179.3588867188,4189.1025390625,4247.8203125000,4056.1538085938,4185.0000000000,4157.6923828125,4199.7436523438,4183.7177734375,4184.8715820312,4195.2563476562,4205.3847656250,4196.6665039062,4206.6665039062,4198.7177734375,,,
0.3515625000,22,4181.1538085938,4182.3076171875,4247.4360351562,4056.1538085938,4183.0771484375,4157.5639648438,4199.6152343750,4185.2563476562,4184.8715820312,4191.4101562500,4204.7436523438,4198.7177734375,4204.2309570312,4197.4360351562,,,
0.3554687500,22,4180.5126953125,4177.1796875000,4246.9228515625,4054.8718261719,4181.6665039062,4158.7177734375,4199.1025390625,4188.3334960938,4187.8203125000,4191.5385742188,4203.8461914062,4199.2309570312,4201.0258789062,4195.8974609375,,,
0.3593750000,23,4178.8461914062,4176.1538085938,4247.0512695312,4053.8461914062,4182.4360351562,4161.0258789062,4198.8461914062,4192.8203125000,4193.5898437500,4196.9228515625,4203.5898437500,4199.3588867188,4199.6152343750,4195.8974609375,,,
0.3632812500,23,4177.9487304688,4180.7690429688,4247.8203125000,4054.8718261719,4185.3847656250,4163.8461914062,4199.2309570312,4197.8203125000,4200.2563476562,4205.0000000000,4204.4873046875,4200.5126953125,4200.6411132812,4198.0771484375,,,
0.3671875000,23,4178.5898437500,4188.9741210938,4249.2309570312,4058.4614257812,4188.7177734375,4166.5385742188,4200.3847656250,4202.0512695312,4205.7690429688,4210.8974609375,4205.6411132812,4202.4360351562,4202.8203125000,4201.4101562500,,,
0.3710937500,23,4180.1284179688,4195.6411132812,4250.3847656250,4063.0769042969,4190.8974609375,4168.3334960938,4201.9228515625,4204.6152343750,4208.8461914062,4211.2822265625,4206.1538085938,4203.5898437500,4203.5898437500,4203.7177734375,,,
0.3750000000,24,4181.4101562500,4196.0258789062,4250.7690429688,4066.2819824219,4191.1538085938,4168.8461914062,4203.2050781250,4205.1284179688,4208.7177734375,4207.0512695312,4205.2563476562,4202.8203125000,4202.3076171875,4202.9487304688,,,
