Time:256Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Event Id,Event Date,Event Duration
0.1406250000,9,4168.0771484375,4184.3588867188,4261.1538085938,4175.0000000000,4170.6411132812,4157.5639648438,4168.2050781250,4152.6923828125,4170.6411132812,4177.9487304688,4168.0771484375,4178.7177734375,4215.7690429688,4174.4873046875,,,
0.1445312500,9,4169.2309570312,4199.4873046875,4258.8461914062,4172.1796875000,4168.5898437500,4156.5385742188,4168.9741210938,4152.6923828125,4170.0000000000,4171.9228515625,4165.6411132812,4177.1796875000,4217.4360351562,4173.9741210938,,,
0.1484375000,9,4170.1284179688,4206.5385742188,4257.8203125000,4169.7436523438,4169.2309570312,4155.8974609375,4168.9741210938,4152.0512695312,4168.3334960938,4169.2309570312,4165.8974609375,4177.5639648438,4217.1796875000,4174.6152343750,,,
0.1523437500,9,4171.0258789062,4205.6411132812,4258.9741210938,4169.8715820312,4173.2050781250,4156.5385742188,4168.9741210938,4152.3076171875,4167.1796875000,4171.2822265625,4167.6923828125,4180.3847656250,4217.1796875000,4175.8974609375,,,
0.1562500000,10,4172.4360351562,4201.5385742188,4261.5385742188,4172.5639648438,4179.1025390625,4158.3334960938,4169.3588867188,4154.8715820312,4168.2050781250,4175.7690429688,4168.8461914062,4184.2309570312,4218.4614257812,4176.9228515625,,,
0.1601562500,10,4173.9741210938,4199.2309570312,4264.2309570312,4176.0258789062,4184.4873046875,4159.7436523438,4170.2563476562,4159.2309570312,4171.5385742188,4178.4614257812,4167.5639648438,4186.1538085938,4220.8974609375,4177.3076171875,,,
0.1640625000,10,4174.7436523438,4200.2563476562,4265.6411132812,4177.8203125000,4186.5385742188,4159.7436523438,4171.0258789062,4164.1025390625,4175.2563476562,4176.6665039062,4164.3588867188,4184.6152343750,4223.0771484375,4177.4360351562,,,
0.1679687500,10,4173.8461914062,4201.9228515625,4265.3847656250,4176.1538085938,4183.8461914062,4158.3334960938,4171.4101562500,4167.5639648438,4176.6665039062,4171.9228515625,4161.7949218750,4180.7690429688,4224.6152343750,4177.6923828125,,,
0.1718750000,11,4171.1538085938,4199.7436523438,4263.2050781250,4170.7690429688,4177.9487304688,4156.5385742188,4171.1538085938,4168.5898437500,4175.1284179688,4168.2050781250,4163.4614257812,4177.9487304688,4225.8974609375,4177.9487304688,,,
0.1757812500,11,4166.9228515625,4191.1538085938,4259.1025390625,4162.8203125000,4171.7949218750,4155.6411132812,4170.6411132812,4167.6923828125,4172.0512695312,4168.0771484375,4170.8974609375,4178.8461914062,4228.4614257812,4177.4360351562,,,
0.1796875000,11,4162.4360351562,4177.0512695312,4253.9741210938,4153.9741210938,4168.0771484375,4156.0258789062,4170.1284179688,4166.2822265625,4170.3847656250,4171.6665039062,4183.2050781250,4183.4614257812,4232.8203125000,4175.8974609375,,,
0.1835937500,11,4159.7436523438,4162.0512695312,4249.1025390625,4145.6411132812,4167.6923828125,4157.4360351562,4170.1284179688,4165.5126953125,4172.1796875000,4177.0512695312,4197.8203125000,4189.4873046875,4238.8461914062,4174.2309570312,,,
0.1875000000,12,4160.2563476562,4150.6411132812,4246.2822265625,4137.9487304688,4169.1025390625,4158.4614257812,4170.1284179688,4165.8974609375,4177.1796875000,4182.9487304688,4212.6923828125,4195.3847656250,4245.1284179688,4174.1025390625,,,
0.1914062500,12,4162.8203125000,4145.1284179688,4246.0258789062,4130.0000000000,4169.3588867188,4158.0771484375,4169.7436523438,4166.7949218750,4182.9487304688,4188.0771484375,4226.7949218750,4200.6411132812,4250.6411132812,4176.0258789062,,,
0.1953125000,12,4165.2563476562,4144.6152343750,4247.3076171875,4120.8974609375,4166.4101562500,4156.7949218750,4168.7177734375,4167.3076171875,4186.4101562500,4191.9228515625,4239.8715820312,4205.8974609375,4254.8715820312,4179.3588867188,,,
0.1992187500,12,4165.5126953125,4145.3847656250,4248.2050781250,4110.8974609375,4160.6411132812,4156.4101562500,4167.5639648438,4167.0512695312,4186.1538085938,4194.8715820312,4252.1796875000,4211.2822265625,4258.5898437500,4182.8203125000,,,
0.2031250000,13,4164.2309570312,4143.4614257812,4247.9487304688,4102.1796875000,4155.1284179688,4158.0771484375,4167.9487304688,4166.5385742188,4183.7177734375,4197.9487304688,4263.9741210938,4217.3076171875,4263.7177734375,4185.7690429688,,,
0.2070312500,13,4163.9741210938,4137.0512695312,4248.2050781250,4096.5385742188,4152.8203125000,4161.4101562500,4171.2822265625,4166.2822265625,4182.5639648438,4201.7949218750,4276.2822265625,4224.4873046875,4271.1538085938,4188.9741210938,,,
0.2109375000,13,4166.4101562500,4128.3334960938,4252.9487304688,4093.7180175781,4154.4873046875,4164.7436523438,4177.1796875000,4167.0512695312,4184.8715820312,4206.9228515625,4288.9741210938,4232.6923828125,4280.5126953125,4192.9487304688,,,
0.2148437500,13,4170.7690429688,4121.6665039062,4265.2563476562,4090.6411132812,4158.4614257812,4166.4101562500,4183.5898437500,4168.5898437500,4190.3847656250,4212.3076171875,4300.7690429688,4240.7690429688,4289.4873046875,4197.4360351562,,,
0.2187500000,14,4174.2309570312,4120.1284179688,4284.6152343750,4084.4870605469,4161.0258789062,4165.6411132812,4187.4360351562,4170.5126953125,4196.2822265625,4216.6665039062,4309.4873046875,4246.1538085938,4295.5126953125,4201.7949218750,,,
0.2226562500,14,4174.3588867188,4123.5898437500,4306.5385742188,4075.3845214844,4159.8715820312,4162.9487304688,4187.8203125000,4172.6923828125,4200.1284179688,4219.6152343750,4314.3588867188,4247.6923828125,4297.1796875000,4205.7690429688,,,
0.2265625000,14,4172.0512695312,4129.8715820312,4324.6152343750,4066.6667480469,4155.8974609375,4159.7436523438,4185.7690429688,4175.6411132812,4201.5385742188,4221.5385742188,4315.7690429688,4245.8974609375,4295.1284179688,4208.9741210938,,,
0.2304687500,14,4170.3847656250,4135.6411132812,4335.0000000000,4062.8205566406,4152.5639648438,4158.2050781250,4184.1025390625,4179.2309570312,4202.5639648438,4224.1025390625,4316.0258789062,4243.5898437500,4292.1796875000,4211.9228515625,,,
0.2343750000,15,4171.9228515625,4137.9487304688,4337.6923828125,4065.2563476562,4153.0771484375,4159.7436523438,4184.3588867188,4183.0771484375,4205.5126953125,4228.3334960938,4317.0512695312,4243.5898437500,4291.6665039062,4215.3847656250,,,
0.2382812500,15,4176.4101562500,4135.3847656250,4335.6411132812,4071.7949218750,4157.6923828125,4163.0771484375,4186.5385742188,4186.2822265625,4211.0258789062,4233.4614257812,4319.4873046875,4246.4101562500,4294.2309570312,4219.3588867188,,,
0.2421875000,15,4180.6411132812,4129.8715820312,4331.7949218750,4078.4614257812,4164.2309570312,4165.6411132812,4189.1025390625,4188.4614257812,4217.1796875000,4237.8203125000,4321.7949218750,4250.1284179688,4297.8203125000,4222.0512695312,,,
0.2460937500,15,4181.7949218750,4126.7949218750,4327.3076171875,4081.2819824219,4169.7436523438,4165.2563476562,4190.3847656250,4189.2309570312,4220.3847656250,4239.2309570312,4321.6665039062,4251.5385742188,4299.3588867188,4220.6411132812,,,
0.2500000000,16,4178.5898437500,4130.5126953125,4321.9228515625,4079.1025390625,4172.1796875000,4162.4360351562,4189.8715820312,4188.7177734375,4218.4614257812,4236.6665039062,4317.6923828125,4248.0771484375,4296.2822265625,4214.7436523438,,,
0.2539062500,16,4173.2050781250,4140.8974609375,4315.1284179688,4073.8461914062,4171.5385742188,4158.8461914062,4188.0771484375,4187.0512695312,4211.7949218750,4230.8974609375,4310.7690429688,4240.7690429688,4289.2309570312,4206.7949218750,,,
0.2578125000,16,4168.4614257812,4152.8203125000,4306.5385742188,4069.7436523438,4168.5898437500,4156.5385742188,4186.2822265625,4185.3847656250,4204.3588867188,4225.0000000000,4304.6152343750,4233.5898437500,4281.4101562500,4200.3847656250,,,
0.2617187500,16,4167.3076171875,4159.4873046875,4296.5385742188,4070.2563476562,4166.0258789062,4156.6665039062,4185.7690429688,4185.6411132812,4200.6411132812,4222.8203125000,4302.9487304688,4231.1538085938,4277.0512695312,4197.8203125000,,,
0.2656250000,17,4170.2563476562,4158.4614257812,4286.5385742188,4075.8974609375,4165.7690429688,4158.7177734375,4186.6665039062,4189.1025390625,4203.2050781250,4225.7690429688,4306.5385742188,4234.6152343750,4277.8203125000,4199.1025390625,,,
0.2695312500,17,4175.8974609375,4151.7949218750,4277.9487304688,4083.5898437500,4168.3334960938,4161.6665039062,4188.5898437500,4195.1284179688,4210.3847656250,4231.2822265625,4311.7949218750,4240.6411132812,4281.5385742188,4202.3076171875,,,
0.2734375000,17,4180.7690429688,4144.1025390625,4271.5385742188,4089.1025390625,4171.5385742188,4163.5898437500,4190.0000000000,4200.6411132812,4217.8203125000,4234.8715820312,4313.9741210938,4244.1025390625,4283.7177734375,4205.1284179688,,,
0.2773437500,17,4182.3076171875,4138.8461914062,4266.2822265625,4089.7436523438,4172.6923828125,4163.0771484375,4189.7436523438,4201.9228515625,4221.0258789062,4233.5898437500,4310.7690429688,4242.3076171875,4281.5385742188,4205.7690429688,,,
0.2812500000,18,4179.8715820312,4136.1538085938,4261.2822265625,4085.3845214844,4170.3847656250,4160.6411132812,4187.8203125000,4197.8203125000,4218.4614257812,4227.4360351562,4303.4614257812,4236.5385742188,4275.5126953125,4204.1025390625,,,
0.2851562500,18,4175.1284179688,4134.2309570312,4256.2822265625,4079.2307128906,4165.7690429688,4158.3334960938,4185.3847656250,4190.8974609375,4212.1796875000,4219.4873046875,4295.8974609375,4230.2563476562,4268.9741210938,4201.2822265625,,,
0.2890625000,18,4170.7690429688,4131.1538085938,4252.1796875000,4074.4870605469,4161.6665039062,4158.0771484375,4184.2309570312,4186.0258789062,4205.8974609375,4214.2309570312,4291.5385742188,4226.6665039062,4264.1025390625,4198.9741210938,,,
0.2929687500,18,4168.9741210938,4127.0512695312,4249.8715820312,4073.3332519531,4160.0000000000,4159.7436523438,4185.6411132812,4187.1796875000,4203.2050781250,4214.4873046875,4291.2822265625,4226.2822265625,4260.6411132812,4198.0771484375,,,
0.2968750000,19,4170.2563476562,4123.9741210938,4248.9741210938,4075.6411132812,4161.0258789062,4160.8974609375,4188.5898437500,4193.3334960938,4205.1284179688,4219.8715820312,4293.5898437500,4227.8203125000,4257.1796875000,4198.7177734375,,,
0.3007812500,19,4172.9487304688,4122.9487304688,4248.9741210938,4078.9743652344,4163.4614257812,4159.8715820312,4191.2822265625,4200.2563476562,4210.1284179688,4226.4101562500,4295.5126953125,4228.9741210938,4253.0771484375,4200.1284179688,,,
0.3046875000,19,4173.8461914062,4123.7177734375,4249.2309570312,4080.7692871094,4165.7690429688,4157.4360351562,4192.0512695312,4203.8461914062,4214.6152343750,4230.3847656250,4295.0000000000,4228.5898437500,4249.2309570312,4201.5385742188,,,
0.3085937500,19,4171.4101562500,4123.5898437500,4250.1284179688,4080.2563476562,4167.1796875000,4155.5126953125,4190.7690429688,4203.3334960938,4216.7949218750,4230.8974609375,4292.9487304688,4227.1796875000,4247.4360351562,4202.1796875000,,,
